"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/11/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/12/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/13/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/14/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/15/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/16/2023","AQS","550790056","1","0.2","ppm","2","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/17/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/18/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/19/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/20/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/21/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/22/2023","AQS","550790056","1","0.2","ppm","2","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/23/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/24/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/25/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/26/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/27/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"02/28/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"03/01/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"03/02/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
